,0,1,2,3,4,5,6,7,8,9,driverId,date
0,1.2366014,2.0677838,1.5459874,0.0,1.7203377,0.72549576,0.55355614,2.3130517,0.0,0.06888981,16,2002-05-17
1,1.3245122,2.1645143,1.805456,0.0,1.9155862,0.9594897,0.6804225,2.5402293,0.0,0.042537685,16,2002-06-16
2,1.4225072,1.2569469,0.0,0.8021455,0.39428607,0.34642223,0.275252,1.2030799,0.0,0.65788305,16,2003-04-12
3,0.52195734,1.0713778,0.89669377,0.0,0.027040694,0.19719794,0.0,1.3036004,0.0,0.0,16,2003-05-12
4,0.1686482,0.63139915,0.5610332,0.0,0.0,0.0,0.0,0.83344114,0.0,0.0,16,2003-07-11
5,0.12670092,0.6713097,0.90274924,0.0,0.0,0.0,0.0,1.0265486,0.0,0.0,16,2003-09-09
6,0.7079208,0.99752855,0.6880013,0.16848767,0.0,0.0728864,0.0,0.9827068,0.0,0.42777863,16,2004-07-05
7,0.5846871,0.90679467,0.0,0.0,0.0,0.0,0.11178876,0.9900294,0.0,0.0,16,2004-09-03
8,0.34254536,1.008313,1.279336,0.0,0.0,0.106842756,0.0,1.1207725,0.0,0.0,55,1995-05-24
9,0.12263541,0.67482924,0.59942913,0.0,0.0,0.0,0.0,0.8181312,0.0,0.0,55,1995-06-23
10,0.5963583,0.93282634,0.0,0.0,0.0,0.31174245,0.08168568,1.1101694,0.0,0.0,55,1995-07-23
11,0.38069254,0.9383914,0.36029485,0.0,0.0,0.0,0.0,0.93094766,0.0,0.0,55,1995-08-22
12,0.5034971,0.7800962,0.0,0.0,0.0,0.0,0.0,0.9062656,0.0,0.0,55,1996-06-17
13,0.3744395,0.69042844,0.13195309,0.0,0.0,0.0,0.0,0.6374484,0.0,0.0,55,1996-08-16
14,0.19334076,0.4021461,0.0,0.0,0.0,0.0,0.0,0.48893535,0.0,0.0,55,1996-09-15
15,0.057007108,0.24939811,0.0,0.0,0.0,0.0,0.0,0.17309597,0.0,0.0,55,1997-10-10
16,0.0,0.08592975,0.0,0.0,0.0,0.0,0.0,0.25741577,0.0,0.0,55,1998-06-07
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0832988,0.0,0.0,55,1999-05-03
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,1999-06-02
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,1999-08-31
20,0.9417996,1.2968937,0.84315884,0.0,0.42873445,0.3241533,0.20901716,1.535722,0.0,0.032133617,55,2000-05-27
