,0,1,2,3,4,5,6,7,8,9,driverId,date
0,-2.6158557,-2.5307844,2.2344046,2.5098462,2.4728565,-2.44523,2.1653194,2.5570188,-1.9021361,-2.1900897,16,2002-05-17
1,-2.248171,-2.1841414,1.9375445,2.0783086,2.133018,-2.2683773,2.0248919,2.1578782,-1.7470473,-1.7910006,16,2003-05-12
2,-2.179266,-2.1750145,1.9118465,2.031079,2.0973318,-2.2720652,2.010672,2.1003525,-1.7448971,-1.7164572,16,2003-07-11
3,-2.1564083,-2.1854048,1.9117883,2.0192764,2.105167,-2.2830737,2.0106523,2.0918148,-1.7588193,-1.6926447,16,2003-09-09
4,-2.2257404,-2.2239969,1.9575759,2.077019,2.191486,-2.3003838,2.0343065,2.1779704,-1.7974403,-1.7697588,16,2004-07-05
5,-2.1961355,-2.221002,1.9467971,2.0565834,2.1758003,-2.3027437,2.028744,2.152772,-1.7964993,-1.7377708,16,2004-09-03
6,-2.5281796,-2.4570444,2.1530566,2.485791,2.3998632,-2.3768337,2.0969336,2.5237198,-1.8795047,-2.132024,55,1994-10-26
7,-1.9805028,-2.0114937,1.6091412,2.15233,1.7708479,-1.9457984,1.697963,2.1283135,-1.7499216,-1.7127615,55,1995-06-23
8,-2.3358686,-2.3125472,1.9948919,2.303856,2.2693324,-2.264791,1.978498,2.3224397,-1.8358257,-1.9026382,55,1995-08-22
9,-1.4900117,-1.3517963,1.4345803,1.5109334,1.5465118,-1.6490052,1.3330394,1.6426008,-1.3520362,-0.9100373,55,1996-06-17
10,-1.3475285,-1.2298685,1.2880566,1.4316299,1.3597527,-1.5252006,1.2147497,1.5519431,-1.3181087,-0.81453836,55,1996-08-16
11,-1.5244746,-1.3664327,1.0852134,1.7253528,0.97700036,-1.4013566,1.257927,1.6362767,-1.404402,-1.2685546,55,1997-06-12
12,-1.1570263,-1.0491982,1.0200529,1.3555533,0.90924984,-1.3176367,1.092224,1.513773,-1.2812315,-0.86356676,55,1997-08-11
13,-1.2945055,-1.1859854,1.2317288,1.4100245,1.226419,-1.5185245,1.2479136,1.6465657,-1.3149297,-0.9382145,55,1997-10-10
14,-1.290559,-1.1701896,0.9991776,1.5419477,0.7508248,-1.2963144,1.1127694,1.4955078,-1.3175913,-1.0152543,55,1998-06-07
15,-1.0966084,-0.954206,0.87320876,1.3501327,0.68948644,-1.1951586,1.0491973,1.4268138,-1.2715484,-0.85312974,55,1998-08-06
16,-1.0901455,-0.94179446,0.856995,1.3388427,0.667154,-1.1820067,1.0442075,1.4020218,-1.2583239,-0.84125686,55,1999-06-02
17,-2.3906586,-2.2913113,2.0386007,2.2377763,2.2634823,-2.3114161,2.061495,2.3063192,-1.8005061,-1.9367348,55,2001-05-22
18,-2.4158776,-2.3477647,2.0425053,2.2970235,2.3737297,-2.2343907,1.9001843,2.1884513,-1.8369315,-1.7665747,55,2001-09-19
19,-2.3071024,-2.2236984,1.9501607,2.1580262,2.2111025,-2.2093928,1.9347287,2.1310425,-1.7736058,-1.7446383,55,2002-07-16
